"experience_id","position_id","name","description","hyperlink","start_date","end_date"
"1","6","Fit Me (Android App, Group Project) - CSE 476 (Mobile Application Development)","Developed step sensor, step detector and accelerometer sensors in Java. Collaborated to secure client-server architecture using Firebase authentication and RESTful APIs to store user fitness data remotely, managing local SQLite database for offline persistence and implementing thread-safe data synchronization.",NULL,"2025-10-01",NULL
"2","6","Fit Me (Android App, Group Project) - CSE 476 (Mobile Application Development)","Designed and implemented data processing pipelines to calculate distance, calories burned, and elapsed time, displaying metrics through Material Design UI components with real-time updates. Led sensor data processing and storage implementation across mobile client and remote server infrastructure, developing data flow architecture for real-time fitness metrics, successfully deployed in Google Play Store with zero critical bugs.",NULL,"2025-10-01",NULL
"3","6","Spartanmind (Group Project) - CSE 335 (Object-oriented Software Development)","Led the team using SCRUM to design and implement a level-based Mastermind-inspired word puzzle game using C++, wxWidgets library, OOP principles to develop interactive player mechanics, letter placement, tile grids, and level switching. Created game functionalities such as grabbing letters, placing letters into gameboard, automatic feedback system, designed game state (track what state the game is in), assigned tasks, managed team meetings.",NULL,"2025-03-01",NULL
"4","6","StudyPal - SpartaHack 8 (Hackathon), Michigan State University","Collaborated with 3 members to implement a group study-based web application using an advanced algorithm, HTML, CSS, and JavaScript, as well as a backend database via Firebase controlled by Python to store user information, handle requests, and run the matchmaking algorithm.",NULL,"2023-01-01",NULL
"5","2","Enterprise Data & AI Platform","Collaborated with a technical team using AGILE to build and support Jackson's Enterprise Data & AI Platform infrastructure in Jira Cloud, data extraction using SQL, Python, IBM mainframe for business analytics unit and developing report dashboards using Power BI tools to drive data-driven decision-making.",NULL,"2025-06-01",NULL
"6","3","IT Strategic Support","Collaborated with a technical team using AGILE to make a direct impact on customer satisfaction, processing core IT functions such as data analyzing, account maintenance, managing technical project, creating technical documentation, and for business functions such as customer interactions, and associative engagement.",NULL,"2024-08-01","2025-06-01"
"7","3","Enhanced IT Functionality","Successfully enhanced every technical team goal, and core business and IT's functionality. Led to more efficient IT projects, and financial product deals.",NULL,"2024-08-01","2025-06-01"
"8","4","Phoenix Pricing Tool","Collaborated with an engineering developer team in an application-based pricing tool using AGILE in Excel named Phoenix, aimed at optimizing deal financials. For the backend of Phoenix, used VBA, SQL, Databricks, Power BI to create reports, TypeScript to exchange data for users with various web services. Used Postman, to build API application, created http request, and the workflows for authenticating and monitoring users.",NULL,"2024-05-01","2024-08-01"
"9","4","Scalable Application Development","Implemented Agile development principles to build scalable application deployment pipelines and new web hosted applications. Collaborated with clients to understand their needs and deliver innovative solutions, utilized Full Stack development skills to create efficient and user-friendly software solutions.",NULL,"2024-05-01","2024-08-01"
"10","1","Academic Scholars Program (ASP)","Member",NULL,"2022-09-01",NULL
"11","1","Detroit M.A.D.E. Program","Member",NULL,"2022-09-01",NULL